Epoch,Generator Loss,Discriminator Loss
1,0.65422684,1.4125702
2,0.689248,1.3821698
3,0.6943662,1.3756016
4,0.6723933,1.3530571
5,0.6481569,1.3890486
6,0.6718808,1.3560836
7,0.6845188,1.3547525
8,0.72376883,1.3565009
9,0.6659308,1.3568153
10,0.7361319,1.3420987
11,0.69929755,1.339645
12,0.77857065,1.3555112
13,0.7048764,1.2886274
14,0.70083815,1.3450685
15,0.72709715,1.3541019
16,0.6569221,1.382261
17,0.72377527,1.3610663
18,0.69821656,1.3707738
19,0.7129395,1.3352609
20,0.7564025,1.3741925
21,0.7329713,1.3740162
22,0.6931351,1.3431684
23,0.6444505,1.3752999
24,0.84099936,1.3667097
25,0.6803503,1.3823059
26,0.7421768,1.3842133
27,0.71530956,1.3653698
28,0.6779987,1.3687224
29,0.7040719,1.3226049
30,0.7953904,1.4176003
31,0.7865112,1.3685246
32,0.73983496,1.3509138
33,0.7173574,1.3452942
34,0.67715,1.3876765
35,0.8280511,1.3347842
36,0.7597298,1.3742164
37,0.70680463,1.3686665
38,0.7162334,1.2970548
39,0.6412307,1.401279
40,0.7839104,1.4155796
41,0.67826664,1.347029
42,0.72546357,1.3535681
43,0.8063946,1.3750067
44,0.64523387,1.3945101
45,0.7488008,1.3308735
46,0.7864118,1.3381754
47,0.6826737,1.3438827
48,0.7669505,1.3814981
49,0.669615,1.3571323
50,0.7837981,1.3208907
51,0.66895163,1.3305129
52,0.75192714,1.3965305
53,0.6811962,1.3791287
54,0.7298107,1.3714035
55,0.7085508,1.3534498
56,0.6583773,1.3538749
57,0.8259118,1.3752823
58,0.70278555,1.3497593
59,0.68037444,1.3688643
60,0.72558326,1.3788362
61,0.76182896,1.3797772
62,0.8058688,1.4004481
63,0.65688837,1.324254
64,0.764728,1.3513306
65,0.7974935,1.3433595
66,0.68568486,1.367487
67,0.73939806,1.3670068
68,0.78392196,1.3677478
69,0.71166086,1.3411567
70,0.70605594,1.3710513
71,0.71497345,1.3577735
72,0.73880017,1.353559
73,0.73947704,1.3645598
74,0.7117435,1.3533832
75,0.73232096,1.3768169
76,0.7555258,1.3963857
77,0.66266817,1.3724478
78,0.7424182,1.3333757
79,0.72906333,1.3739405
80,0.700307,1.354439
81,0.74852115,1.3710573
82,0.65257317,1.3674161
83,0.66271055,1.3662488
84,0.76865935,1.3579309
85,0.7237453,1.3731093
86,0.76927483,1.3718534
87,0.7033916,1.3528496
88,0.68801594,1.335501
89,0.6591289,1.3715487
90,0.74588853,1.3404522
91,0.72080594,1.3716605
92,0.68366057,1.3466704
93,0.7324068,1.376754
94,0.68750715,1.3782523
95,0.68479925,1.322762
96,0.6501881,1.3576913
97,0.72869027,1.370336
98,0.74856085,1.3743432
99,0.66659427,1.38417
100,0.7903559,1.3755379
101,0.7192414,1.3370273
102,0.7018964,1.3518007
103,0.68483484,1.3558275
104,0.6922829,1.371217
105,0.6594393,1.3511165
106,0.7050371,1.3511949
107,0.7157591,1.3647788
108,0.7223473,1.3760624
109,0.7278414,1.3927474
110,0.6923529,1.3331966
111,0.7753769,1.3952935
112,0.7350821,1.3588203
113,0.7098286,1.3622497
114,0.739649,1.3733957
115,0.71855915,1.3600571
116,0.71578115,1.3847967
117,0.74740314,1.382132
118,0.73208535,1.3443258
119,0.72578347,1.3724618
120,0.7476368,1.3781338
121,0.7214677,1.3763815
122,0.7002356,1.378514
123,0.73607033,1.3710072
124,0.7921217,1.359484
125,0.7270452,1.3630033
126,0.7063458,1.3661796
127,0.7088032,1.3999789
128,0.70674,1.3878632
129,0.7025212,1.3503315
130,0.695642,1.3460586
131,0.6975048,1.3453026
132,0.7092765,1.3841901
133,0.6976083,1.3810413
134,0.7171912,1.3868904
135,0.74375516,1.364722
136,0.7104985,1.3648921
137,0.72873014,1.3453993
138,0.6767017,1.3883293
139,0.72166944,1.362195
140,0.69761306,1.3770862
141,0.6588067,1.3758187
142,0.6860508,1.3686388
143,0.71233416,1.3457468
144,0.7058811,1.3733943
145,0.7157436,1.3501785
146,0.7051327,1.3692892
147,0.73740035,1.3697109
148,0.71286833,1.3695211
149,0.696634,1.3488947
150,0.7154983,1.3470573
151,0.6861788,1.384233
152,0.6991806,1.371825
153,0.7126439,1.3612983
154,0.7041867,1.3741622
155,0.6780659,1.3829277
156,0.7361568,1.3710382
157,0.68761575,1.3741457
158,0.6929073,1.3643274
159,0.6872,1.3741689
160,0.7259626,1.363564
161,0.67040294,1.3676722
162,0.7085657,1.3821638
163,0.7086328,1.3998849
164,0.73221064,1.3780453
165,0.70309144,1.3712248
166,0.7058949,1.3591821
167,0.68733764,1.3699822
168,0.7397589,1.3840697
169,0.70692134,1.3676105
170,0.70382494,1.364979
171,0.98524565,1.2135179
172,0.6751238,1.3673742
173,0.7017036,1.375342
174,0.7005147,1.3870721
175,0.71766955,1.3751659
176,0.73164076,1.389294
177,0.7018675,1.3686423
178,0.6821631,1.3719705
179,0.70584327,1.3714244
180,0.7440554,1.3761933
181,0.660379,1.3711703
182,0.74867356,1.3685434
183,0.71214527,1.3653561
184,0.714738,1.3766497
185,0.6983714,1.3773385
186,0.6923688,1.3670897
187,0.70344424,1.3571529
188,0.7233008,1.3749123
189,0.69798404,1.3781276
190,0.7066212,1.3660929
191,0.7252997,1.3687278
192,0.71703714,1.3845519
193,0.6891759,1.3706394
194,0.6760805,1.3814442
195,0.6927786,1.3816583
196,0.7070209,1.3989627
197,0.69619817,1.3636024
198,0.7057865,1.3677467
199,0.72577024,1.3800167
200,0.6803,1.3004203
